channelTitle,title,publishedAt,likeCount,dislikeCount,commentCount,viewCount,duration,all_comment
ETtoday新聞雲,台股多頭氣勢旺 專家曝趨勢！ 半導體.電動車.金融股先布局？｜雲端好生活 EP25精華,2021-12-10T13:30:21Z,17,1,0,1105,PT15M7S,[]
ETtoday新聞雲,政府拼能源轉型 3綠電股受惠 Fed升息前傾 專家看好下半年｜雲端好生活 EP25精華,2021-12-10T13:30:18Z,9,3,0,481,PT12M14S,[]
ETtoday新聞雲,《我在案發現場》在地獄打火！她自焚害大囍市16亡  住戶攀繩墜落...,2021-12-10T12:00:10Z,5,1,1,539,PT1H21M33S,"[{'videoId': 'h4dJhqw253I', 'textOriginal': '耶～更新了\n喜歡案發現場讚', 'likeCount': 0, 'publishedAt': '2021-12-10T20:39:29Z'}]"
ETtoday新聞雲,今年最火5G.電動車ETF大比拼 威鋒電子成王雪紅NFT押箱寶？｜雲端最有錢EP225精華,2021-12-10T12:00:06Z,26,0,2,1759,PT12M14S,"[{'videoId': '7jxGdteAZEY', 'textOriginal': '存股達人 上節目 講 投機股？？？真是奇怪啊？？？😇😪   原來 一切 皆是假象啊！ 😰😥😢  陳老師啊 號  莊笑為 🥳', 'likeCount': 1, 'publishedAt': '2021-12-11T16:35:08Z'}, {'videoId': '7jxGdteAZEY', 'textOriginal': '威鋒繼續跌？！', 'likeCount': 0, 'publishedAt': '2021-12-10T12:14:00Z'}]"
ETtoday新聞雲,開箱建案.線上賞屋成新趨勢 口條.專業.說真話是關鍵！｜雲端大富翁 EP15精華,2021-12-10T11:00:28Z,2,0,0,97,PT9M12S,[]
ETtoday新聞雲,記者經驗！過濾代銷話數抓精隨 自己當消費者 看屋先看這3點｜雲端大富翁 EP15精華,2021-12-10T11:00:07Z,2,0,0,158,PT10M40S,[]
ETtoday新聞雲,加拿大議員再挺台！逼政府表態　「要不要和台灣站一起？」全場歡呼,2021-12-10T09:50:59Z,18,1,3,503,PT57S,"[{'videoId': 'wYVIVzcHD5A', 'textOriginal': '本來加拿大政府很支持台灣，現在你一個反對黨的議員要求現任政府怎麼做，不怕會有反效果？', 'likeCount': 0, 'publishedAt': '2021-12-10T09:58:07Z'}, {'videoId': 'wYVIVzcHD5A', 'textOriginal': '加拿大國會議員比台灣某些政黨與政治人物更支持台灣政府加入國際各項組織，想想真是可悲～', 'likeCount': 0, 'publishedAt': '2021-12-10T09:57:25Z'}, {'videoId': 'wYVIVzcHD5A', 'textOriginal': '恭喜终于建交了', 'likeCount': 0, 'publishedAt': '2021-12-10T09:54:33Z'}]"
ETtoday新聞雲,【LIVE】12/10 P3實驗室確診新冠肺炎 中研院最新說明,2021-12-10T09:07:23Z,6,0,0,881,PT33M12S,[]
ETtoday新聞雲,2022年投資趨勢 聚焦半導體.綠電.OTT | 雲端好生活20211210精華,2021-12-10T07:00:01Z,2,0,0,278,PT3M42S,[]
ETtoday新聞雲,【LIVE】12/10 中研院女確診「雙北匡列上百人」｜中央流行疫情指揮中心記者會｜陳時中｜新冠病毒 COVID-19 omicron,2021-12-10T06:46:13Z,14,2,3,3002,PT47M56S,"[{'videoId': 'ZmqG2t88DhU', 'textOriginal': '實驗室的那個案例應該移除為空號', 'likeCount': 0, 'publishedAt': '2021-12-10T12:17:37Z'}, {'videoId': 'ZmqG2t88DhU', 'textOriginal': '實驗室的人又沒有跟確診者接觸，他為什麼被感染?', 'likeCount': 0, 'publishedAt': '2021-12-10T11:10:34Z'}, {'videoId': 'ZmqG2t88DhU', 'textOriginal': '繼續放境外近來  就繼續 非要搞到人在開炮才知道錯嗎....為啥不先停止人進入   等真的穩定再開?', 'likeCount': 0, 'publishedAt': '2021-12-10T07:40:59Z'}]"
